YEAR,POP,B,D,CBR,CDR,LE,LMF,LMHS,LMC,LMP,FPC,SOPC,IOPC,PPOLX,HSAPC,EHSPC,AIOPC,DIOPC,PLE,DTF,DCFS,CMPLE,MTF,FCE,TF,FPU
1954,2825543985.2347913,62413679.65538298,45040666.39140803,22.089084431717545,15.940529196067475,62.347456131477294,1.105913043478261,2.0,1.0261159900393286,0.9811,351.8,870.0,470.0,1.445,116.6,100.57169399189952,460.0000000030979,385.2301487382654,56.01933271997219,3.0307828125828173,2.6590323472460358,1.139806672800278,12.14084736788864,1.0,3.0307828125828173,0.28255439852347913
1955,2842613986.828749,62344075.56030986,45274073.96635197,21.93195271998981,15.926915921799225,62.409757675767295,1.107391304347826,2.0,1.0261362818634219,0.98075,353.5,875.0,475.0,1.4625000000000001,117.5,101.41810929230455,465.0000000020653,390.2013432368831,56.48133618098585,3.008788712389032,2.650479323105867,1.1351866381901417,12.144585460546038,1.0,3.008788712389032,0.2842613986828749
1956,2859385833.265323,62274254.28399126,45502407.84741748,21.77889166250647,15.91335010408695,62.47172669105429,1.1088695652173912,2.0,1.0261520486788245,0.9803999999999999,355.2,880.0,480.0,1.48,118.4,102.26720382768933,470.00000000137686,395.1760721508355,56.925727935130276,2.987371414249781,2.641955026282152,1.1307427206486973,12.148303601463258,1.0,2.987371414249781,0.2859385833265323
1957,2875865344.258579,62205272.00364,45725761.010384396,21.630105918494255,15.899826847481577,62.533367845227374,1.1103478260869566,2.0,1.0261633803743777,0.98005,356.9,885.0,485.0,1.4975,119.3,103.11884363630486,475.0000000009179,400.1539126125737,57.351232885425944,2.9665591095548938,2.633459012061475,1.1264876711457406,12.152002070713642,1.0,2.9665591095548938,0.2875865344258579
1958,2892059076.0404315,62137972.64390906,45944240.862056166,21.48572038472438,15.886342448080013,62.59468630449526,1.1118260869565217,2.0,1.026170374632753,0.9797,358.6,890.0,490.0,1.5150000000000001,120.2,103.97290145448962,480.0000000006119,405.13449069047783,57.756986206866884,2.946368793971506,2.6249908073581687,1.1224301379313313,12.155681178269717,1.0,2.946368793971506,0.2892059076040432
1959,2907974111.849596,62073001.46270377,46157965.65353942,21.345788880913624,15.872894282466971,62.65568759568299,1.113304347826087,2.0,1.026173134638166,0.9793499999999999,360.3,895.0,495.0,1.5325000000000002,121.1,104.82925638176513,485.00000000040797,410.11747598259683,58.14249316214713,2.9268075018192574,2.616549916548666,1.1185750683785287,12.15934125574098,1.0,2.9268075018192574,0.2907974111849596
1960,2923617873.6074615,62010822.94082734,46367061.182962,21.21030367908922,15.859480680267401,62.71637748130903,1.114782608695652,2.0,1.0261717670066464,0.979,362.0,900.0,500.0,1.55,122.0,105.68779356267687,490.000000000272,415.102576767208,58.507583629852846,2.9078736552900146,2.6081358265983527,1.1149241637014715,12.162982648878543,1.0,2.9078736552900146,0.29236178736074614
1961,2938997956.681653,61951740.92144775,46571657.84725601,21.079205169436683,15.846100791386352,62.77676184936844,1.1162608695652174,2.0,1.0261663799687868,0.97865,363.7,905.0,505.0,1.5675000000000001,122.9,106.54840388454303,495.00000000018133,420.0895356593915,58.85236505270459,2.889558429427215,2.5997480115500444,1.1114763494729543,12.166605710962108,1.0,2.889558429427215,0.2938997956681653
1962,2954121988.126969,61895919.51482101,46771888.069505185,20.952391188850495,15.83275445546527,62.83684661851081,1.1177391304347826,2.0,1.0261570818144667,0.9783,365.4,910.0,510.0,1.5850000000000002,123.8,107.41098369031589,500.0000000001209,425.07812572633725,59.17717633723174,2.87184706676072,2.591385936438234,1.1082282366276826,12.170210797110649,1.0,2.87184706676072,0.2954121988126969
1963,2968997507.746878,61843403.72476924,46967884.10486006,20.829725711592513,15.819442078448626,62.89663765843962,1.119217391304348,2.0,1.0261439795949236,0.97795,367.1,915.0,515.0,1.6025,124.7,108.27543450580009,505.0000000000806,430.0681470175905,59.482544356984356,2.854720099883542,2.5830490606883156,1.1051745564301565,12.173798259506377,1.0,2.854720099883542,0.29689975077468783
1964,2983631870.6267486,61794139.09179063,47159776.21192008,20.711046728030162,15.806164519221868,62.95614072478223,1.120695652173913,2.0,1.0261271780681724,0.9776,368.8,920.0,520.0,1.62,125.6,109.14166278051009,510.0000000000537,435.05942346984364,59.76914406229865,2.8381544580384683,2.5747368410551887,1.1023085593770137,12.177368443486934,1.0,2.8381544580384683,0.2983631870626749
1965,2998042771.9709806,61758592.51021951,47347691.165987484,20.599636898981938,15.79286713606826,63.01536140731736,1.1221739130434782,2.0,1.026106778867984,0.97725,370.5,925.0,525.0,1.6375000000000002,126.5,110.00957964148458,515.0000000000358,440.0518001491607,60.03776272795011,2.8226090270394195,2.5664487341510434,1.0998111863602495,12.180921684439042,1.0,2.8226090270394195,0.29980427719709807
